#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
2500,-102067.56621775229,18389.864240511553,-83677.70197724074,294.9056374829783,85.02923068282081,0.8821518336376306,0
5000,-103723.57719955675,18586.679781656014,-85136.89741790073,298.061833301972,78.1871128139844,0.9593485302124053,121
7500,-103593.81035937055,18387.210487829056,-85206.59987154149,294.8630810716683,77.90603557166969,0.9628097644712416,127
10000,-104428.57776148885,18688.900851063634,-85739.67691042522,299.70108246899076,76.56347150239004,0.9796929304244772,128
12500,-104319.15756136947,18380.958776173647,-85938.19878519583,294.7628266604891,77.17073841083116,0.9719835951332525,131
15000,-104262.68403385545,18244.839164700476,-86017.84486915497,292.57996982857185,77.5425933915226,0.9673224543950812,132
17500,-104142.99858620728,18798.618203591323,-85344.38038261596,301.4605443859985,77.39823126273963,0.9691266910870285,133
20000,-104072.73553092917,18615.15895595489,-85457.57657497429,298.5185342836517,76.94206857367949,0.9748723052307773,133
22500,-104460.71310360369,18637.2566324817,-85823.45647112199,298.87289956323207,77.5627329618729,0.9670712840471866,131
25000,-104317.26108212571,18780.181632493157,-85537.07944963255,301.16488974268,77.16569967941221,0.9720470632842555,130
27500,-103736.69824883109,18591.518642407173,-85145.17960642392,298.13943079240744,77.70881806804141,0.9652532830182832,131
30000,-103956.09650922765,18848.54877019464,-85107.547739033,302.2612466305317,77.3904761354468,0.9692238051148464,131
32500,-103969.50489163457,18692.089097627904,-85277.41579400667,299.75221019202297,76.86203489715679,0.975887404750744,132
35000,-103483.79644839803,18668.235263740644,-84815.56118465739,299.3696826215671,78.18163198720211,0.9594157841566413,132
37500,-103589.38196926692,18485.684401337756,-85103.69756792916,296.44223967006366,77.3359447191962,0.9699072279003131,132
40000,-104206.57477192418,18453.091749650193,-85753.48302227398,295.9195736733236,77.68236282760529,0.9655820063829507,132
42500,-104365.365441576,18738.703016117914,-85626.66242545808,300.49972562596474,77.02264506596279,0.9738524520341962,132
45000,-104257.94860935549,18798.888372427784,-85459.0602369277,301.46487689829456,77.62129008547228,0.9663417301754715,132
47500,-103856.74536088307,18623.258177175885,-85233.48718370718,298.64841593835325,77.29836061585031,0.9703788173777471,132
50000,-104083.26907810313,18656.25591980247,-85427.01315830066,299.1775781005923,76.8284275423858,0.9763142909343758,132
52500,-103570.63979168225,18491.878021434415,-85078.76177024783,296.5415625067657,77.71853357569073,0.9651326177763746,132
55000,-104153.11285608797,18632.64843899291,-85520.46441709506,298.79900112544675,77.44640744638566,0.9685238377464341,132
57500,-103801.75052074925,18589.062715863343,-85212.6878048859,298.1000467831756,76.94262315348969,0.9748652786377674,131
60000,-103851.60385556612,18483.37159884468,-85368.23225672144,296.4051508430515,77.06758802359181,0.9732845374203992,131
62500,-104549.52908078465,18542.381902716123,-86007.14717806852,297.35145860550557,76.36065508053909,0.9822950272039221,131
65000,-103863.67436547216,18401.969940172043,-85461.70442530012,295.0997682839926,77.12072155578709,0.972613977754191,130
67500,-104128.67206363438,18712.361510590126,-85416.31055304426,300.0773049719383,77.08172692664157,0.9731060103392987,131
70000,-103971.23156771786,18565.18506260088,-85406.04650511697,297.7171372377397,77.8924283382609,0.9629779602442188,130
72500,-104156.22302639112,18730.32070917543,-85425.90231721569,300.3653043197429,76.52372786598427,0.9802017472411942,126
75000,-104271.26118762791,18528.96858971147,-85742.29259791644,297.13635850630624,77.11677939609366,0.9726636971492485,126
77500,-103867.13177777897,19241.479597678408,-84625.65218010056,308.5624087625796,77.64756721435172,0.9660147052975985,125
80000,-103933.59994508,18850.156884994125,-85083.44306008588,302.2870348644134,77.60442757942022,0.9665517045774703,125
82500,-103139.55078741722,18319.411908073118,-84820.1388793441,293.7758417575618,78.08958759830813,0.9605466499002562,126
85000,-104124.77307293203,18819.64783275267,-85305.12524017936,301.79778212265325,77.2237642496767,0.9713161808213912,126
87500,-103798.90081122064,18851.86546649458,-84947.03534472606,302.314434213859,77.14662292377983,0.9722874303098838,126
90000,-103798.41966477933,18879.611783637047,-84918.80788114227,302.7593828680573,76.6592246954317,0.978469219557831,126
92500,-104727.69536336313,18951.123605510686,-85776.57175785245,303.9061688987424,77.72183036336695,0.9650916789911539,126
95000,-104025.75409635529,18565.810667075217,-85459.94342928007,297.7271696275335,77.2304237352807,0.9712324254072646,126
97500,-103635.24364834302,18499.862370605348,-85135.38127773767,296.6696020372019,76.61098552352617,0.979085326302366,126
100000,-104786.77202947729,18544.007040420605,-86242.76498905668,297.37751982403717,77.40691983294244,0.9690179110799039,126
