#"Step","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
102500,-103915.3150327421,18534.661910756724,-85380.65312198538,297.2276583903232,77.35770208183389,0.9696344351115613,0
105000,-104377.23100899521,18798.211364327,-85579.01964466821,301.45402018380594,76.83734408286952,0.976200995166493,135
107500,-104231.26667724352,18447.06041361997,-85784.20626362355,295.8228532748691,76.67256334449222,0.9782989962476024,133
110000,-104731.97284147586,18835.081167273107,-85896.89167420275,302.0452759211779,76.30966442595268,0.9829514036512684,135
112500,-104363.2055977151,18666.476773218485,-85696.72882449662,299.3414829153777,76.79669462517795,0.9767177106481314,135
115000,-104494.93767453486,18523.467448802316,-85971.47022573254,297.04814048329746,77.26504386093578,0.9707972455778401,134
117500,-104372.32092208287,18744.902595066465,-85627.4183270164,300.59914402068677,77.19242398349407,0.9717105369781682,134
120000,-103811.42398131778,18208.33932399098,-85603.0846573268,291.99464692179646,77.07622610492099,0.9731754595449565,134
122500,-104475.79824312474,18823.376940034097,-85652.42130309064,301.8575832579791,76.30154677344473,0.9830559789615271,133
125000,-104170.42707723333,18367.49979819311,-85802.92727904022,294.54699426339744,77.41672550904435,0.9688951743494295,132
127500,-103857.65186075657,18883.602006135043,-84974.04985462152,302.8233713289877,76.57624094005352,0.979529562157103,132
130000,-104058.99894187949,18551.82689352194,-85507.17204835755,297.50292144384855,77.33789890767564,0.9698827201032609,132
132500,-103615.30307659402,18562.53627352731,-85052.76680306671,297.674660424421,78.08242147773413,0.960634805377249,131
135000,-104025.118100452,18665.39633143929,-85359.72176901271,299.32415661174167,77.45349181442113,0.9684352506581443,131
137500,-103927.57007521228,18889.58977772575,-85037.98029748653,302.9193931144107,77.0019115819425,0.9741146709043199,131
140000,-103716.09833289078,18733.243110573385,-84982.85522231739,300.4121688662112,77.64686858935191,0.9660233969813145,131
142500,-104039.897126475,18266.371003974113,-85773.52612250089,292.9252611642841,77.05750238536666,0.9734119253505903,131
145000,-104062.7448685047,18666.87657584902,-85395.86829265568,299.3478942759013,78.02984409572004,0.9612820918574886,132
147500,-103991.51016399753,18702.313043687725,-85289.19712030981,299.9161646014156,76.94478473864218,0.9748378920602475,132
150000,-104049.7852621756,18416.479898522142,-85633.30536365346,295.3324545323043,77.07024891259786,0.9732509342834958,131
152500,-103946.67340881831,18804.253951124963,-85142.41945769335,301.55092100310475,77.45824901108385,0.9683757729782159,131
155000,-103570.85637498123,18616.834455322532,-84954.0219196587,298.54540311762764,77.23321928833217,0.9711972704338536,131
157500,-104058.20783361897,18821.43210867897,-85236.77572494,301.8263953316802,76.9955741564086,0.9741948492685437,131
160000,-104352.66591575695,18583.216355040233,-85769.44956071672,298.0062927052257,76.1199103451495,0.9854017354925476,132
162500,-103677.73575172585,18474.364862051094,-85203.37088967476,296.2607159836629,76.95826339123553,0.9746671566420755,132
165000,-103981.57771118078,18344.88247641502,-85636.69523476576,294.18429578939606,77.37205163330249,0.969454605070369,132
167500,-104427.2367882278,18609.291635194328,-85817.94515303348,298.4244440855632,77.00254292275056,0.9741066841766076,132
170000,-104282.5157077685,18687.744104803773,-85594.77160296473,299.6825325227427,76.67789170066918,0.9782310141293681,132
172500,-103852.30724618223,18285.42524143716,-85566.88200474507,293.2308208993806,77.74391366109026,0.9648175429736342,132
175000,-104369.38943112176,18936.337741940282,-85433.05168918148,303.66905814768205,77.55781810795209,0.9671325675413337,132
177500,-103633.9565775058,19129.393275614595,-84504.5633018912,306.76495730622065,77.62952460359303,0.9662392258959644,132
180000,-103964.37113200407,18692.39738587709,-85271.97374612698,299.7571539991912,77.65909465389275,0.965871313513794,132
182500,-104412.76808931422,18494.996925539104,-85917.77116377512,296.5915782323421,77.18211486964623,0.9718403270800563,132
185000,-104199.08860569901,18869.80385897495,-85329.28474672406,302.6020999084316,76.27278626842646,0.9834266640747817,132
187500,-103764.23861398315,18564.102858417667,-85200.13575556548,297.69978267163935,77.4632323029679,0.9683134763377749,132
190000,-104095.82498017221,18819.362205875106,-85276.4627742971,301.79320172035614,77.81042726928713,0.9639928013768206,132
192500,-103651.58870723157,18269.386655159295,-85382.20205207227,292.9736210936214,77.32730753638383,0.9700155630577797,132
195000,-104163.93717717147,18538.539949611295,-85625.39722756017,297.28984783912136,76.91649906099094,0.9751963840705921,132
197500,-103913.92058684037,18223.187946035003,-85690.73264080536,292.23276408744636,77.51181286189316,0.9677065854890319,132
200000,-103253.73438696156,18947.699872059864,-84306.0345149017,303.8512648340532,78.15056127004048,0.9597972239823506,132
202500,-104139.95910057588,18928.45374315878,-85211.5053574171,303.5426278676013,77.0527826542843,0.9734715499658443,132
205000,-104218.58867336425,18760.55496698874,-85458.03370637551,300.85015037176635,77.88195867172752,0.9631074133074787,132
207500,-103540.647189787,18720.708535159938,-84819.93865462707,300.2111604789531,78.10743783036,0.9603271320019146,132
210000,-103935.76628457161,18337.760548095684,-85598.00573647593,294.0700863105412,77.49124467647268,0.9679634399061477,132
212500,-103966.84645509615,18562.200299950317,-85404.64615514583,297.6692726466427,77.78580039332766,0.9642980001537862,132
215000,-105063.75255956617,18698.858821597983,-86364.89373796819,299.86077161133903,77.29602914350008,0.9704080868163851,132
217500,-103463.1678241496,18587.19483286771,-84875.97299128189,298.0700928249318,77.52087012708668,0.9675935220628873,132
220000,-104117.43250346184,18631.296545828227,-85486.13595763361,298.7773217421558,77.27770831324288,0.9706381490455431,132
222500,-104235.39020203298,18663.449181873817,-85571.94102015917,299.2929315098937,76.86934750237391,0.9757945682748381,132
225000,-104051.1136431701,18956.22002204461,-85094.89362112549,303.9878966345843,78.01542020530192,0.9614598186135243,132
227500,-103823.44149598957,18542.98583759833,-85280.45565839123,297.36114349491567,77.71598521836476,0.9651642650979665,133
230000,-104042.1571885189,18922.22755657276,-85119.92963194614,303.44278278444983,77.97956419036608,0.9619019103073462,133
232500,-104102.02638136595,18785.005939804483,-85317.02044156147,301.24225384958436,77.33499561589412,0.9699191312067709,130
235000,-104363.64421816822,18635.699417573167,-85727.94480059505,298.84792757598444,77.33828892244075,0.9698778290126181,130
237500,-104240.871387713,18976.3571172182,-85264.51427049481,304.3108214159505,76.91213379382256,0.9752517328504025,130
240000,-104018.68397225079,18501.677442943444,-85517.00652930734,296.69870910715866,76.49495556370863,0.9805704337873189,130
242500,-104302.43333056639,18417.527383005305,-85884.90594756108,295.34925232239243,77.32864524050335,0.969998782810167,130
245000,-104270.56031470199,18540.182401837432,-85730.37791286455,297.31618671875907,77.2547532987083,0.9709265586497137,130
247500,-103988.11393025867,18323.768926639925,-85664.34500361874,293.8457122754278,77.1051360752885,0.9728105749843434,130
250000,-103775.4938720311,18710.106928097084,-85065.38694393402,300.04114977912815,76.78633728508251,0.9768494554072134,130
252500,-103930.59174036619,18545.172964583267,-85385.41877578292,297.3962169500164,77.71430018197303,0.9651851922234361,130
255000,-103988.11771605036,18512.91219163942,-85475.20552441094,296.87887306502245,77.34155877863776,0.9698368243951832,130
